method,repeat,seed,epochs,lr,result_path,status,original_wer,updated_wer,absolute_delta,relative_delta_pct
RFM,1,123456,1,5e-6,exp/results/repro/sweeps/RFM/tedlium_dev_epoch1_lr5e-6.txt,complete,0.100088,0.090638,-0.009451,-9.44
RFM,1,123456,1,1e-5,exp/results/repro/sweeps/RFM/tedlium_dev_epoch1_lr1e-5.txt,complete,0.100088,0.090527,-0.009561,-9.55
RFM,1,123456,1,2e-5,exp/results/repro/sweeps/RFM/tedlium_dev_epoch1_lr2e-5.txt,complete,0.100088,0.089864,-0.010224,-10.22
RFM,1,123456,5,5e-6,exp/results/repro/sweeps/RFM/tedlium_dev_epoch5_lr5e-6.txt,complete,0.100088,0.087930,-0.012159,-12.15
RFM,1,123456,5,1e-5,exp/results/repro/sweeps/RFM/tedlium_dev_epoch5_lr1e-5.txt,complete,0.100088,0.087653,-0.012435,-12.42
RFM,1,123456,5,2e-5,exp/results/repro/sweeps/RFM/tedlium_dev_epoch5_lr2e-5.txt,complete,0.100088,0.089919,-0.010169,-10.16
RFM,2,123457,1,5e-6,exp/results/repro/sweeps/RFM/tedlium_dev_epoch1_lr5e-6_repeat2.txt,complete,0.100088,0.091467,-0.008622,-8.61
RFM,2,123457,1,1e-5,exp/results/repro/sweeps/RFM/tedlium_dev_epoch1_lr1e-5_repeat2.txt,complete,0.100088,0.090693,-0.009395,-9.39
RFM,2,123457,1,2e-5,exp/results/repro/sweeps/RFM/tedlium_dev_epoch1_lr2e-5_repeat2.txt,complete,0.100088,0.090196,-0.009893,-9.88
RFM,2,123457,5,5e-6,exp/results/repro/sweeps/RFM/tedlium_dev_epoch5_lr5e-6_repeat2.txt,complete,0.100088,0.086106,-0.013983,-13.97
RFM,2,123457,5,1e-5,exp/results/repro/sweeps/RFM/tedlium_dev_epoch5_lr1e-5_repeat2.txt,complete,0.100088,0.087874,-0.012214,-12.20
RFM,2,123457,5,2e-5,exp/results/repro/sweeps/RFM/tedlium_dev_epoch5_lr2e-5_repeat2.txt,complete,0.100088,0.089698,-0.010390,-10.38
RMM,1,123456,1,5e-6,exp/results/repro/sweeps/RMM/tedlium_dev_epoch1_lr5e-6.txt,complete,0.100088,0.088925,-0.011164,-11.15
RMM,1,123456,1,1e-5,exp/results/repro/sweeps/RMM/tedlium_dev_epoch1_lr1e-5.txt,complete,0.100088,0.089643,-0.010445,-10.44
RMM,1,123456,1,2e-5,exp/results/repro/sweeps/RMM/tedlium_dev_epoch1_lr2e-5.txt,complete,0.100088,0.089367,-0.010722,-10.71
RMM,1,123456,5,5e-6,exp/results/repro/sweeps/RMM/tedlium_dev_epoch5_lr5e-6.txt,complete,0.100088,0.086051,-0.014038,-14.03
RMM,1,123456,5,1e-5,exp/results/repro/sweeps/RMM/tedlium_dev_epoch5_lr1e-5.txt,complete,0.100088,0.087377,-0.012711,-12.70
RMM,1,123456,5,2e-5,exp/results/repro/sweeps/RMM/tedlium_dev_epoch5_lr2e-5.txt,complete,0.100088,0.087543,-0.012546,-12.53
RMM,2,123457,1,5e-6,exp/results/repro/sweeps/RMM/tedlium_dev_epoch1_lr5e-6_repeat2.txt,complete,0.100088,0.089146,-0.010943,-10.93
RMM,2,123457,1,1e-5,exp/results/repro/sweeps/RMM/tedlium_dev_epoch1_lr1e-5_repeat2.txt,complete,0.100088,0.088206,-0.011882,-11.87
RMM,2,123457,1,2e-5,exp/results/repro/sweeps/RMM/tedlium_dev_epoch1_lr2e-5_repeat2.txt,complete,0.100088,0.087266,-0.012822,-12.81
RMM,2,123457,5,5e-6,exp/results/repro/sweeps/RMM/tedlium_dev_epoch5_lr5e-6_repeat2.txt,complete,0.100088,0.087322,-0.012767,-12.76
RMM,2,123457,5,1e-5,exp/results/repro/sweeps/RMM/tedlium_dev_epoch5_lr1e-5_repeat2.txt,complete,0.100088,0.087709,-0.012380,-12.37
RMM,2,123457,5,2e-5,exp/results/repro/sweeps/RMM/tedlium_dev_epoch5_lr2e-5_repeat2.txt,complete,0.100088,0.087488,-0.012601,-12.59
UFMR,1,123456,1,5e-6,exp/results/repro/sweeps/UFMR/tedlium_dev_epoch1_lr5e-6.txt,complete,0.100088,0.088648,-0.011440,-11.43
UFMR,1,123456,1,1e-5,exp/results/repro/sweeps/UFMR/tedlium_dev_epoch1_lr1e-5.txt,complete,0.100088,0.088703,-0.011385,-11.37
UFMR,1,123456,1,2e-5,exp/results/repro/sweeps/UFMR/tedlium_dev_epoch1_lr2e-5.txt,complete,0.100088,0.089146,-0.010943,-10.93
UFMR,1,123456,1,4e-5,exp/results/repro/sweeps/UFMR/tedlium_dev_epoch1_lr4e-5.txt,complete,0.100088,0.089146,-0.010943,-10.93
UFMR,1,123456,1,8e-5,exp/results/repro/sweeps/UFMR/tedlium_dev_epoch1_lr8e-5.txt,complete,0.100088,0.090804,-0.009285,-9.28
UFMR,1,123456,1,1.6e-4,exp/results/repro/sweeps/UFMR/tedlium_dev_epoch1_lr1.6e-4.txt,complete,0.100088,0.100420,0.000332,0.33
UFMR,1,123456,5,5e-6,exp/results/repro/sweeps/UFMR/tedlium_dev_epoch5_lr5e-6.txt,complete,0.100088,0.088151,-0.011938,-11.93
UFMR,1,123456,5,1e-5,exp/results/repro/sweeps/UFMR/tedlium_dev_epoch5_lr1e-5.txt,complete,0.100088,0.088759,-0.011330,-11.32
UFMR,1,123456,5,2e-5,exp/results/repro/sweeps/UFMR/tedlium_dev_epoch5_lr2e-5.txt,complete,0.100088,0.087985,-0.012103,-12.09
UFMR,1,123456,5,4e-5,exp/results/repro/sweeps/UFMR/tedlium_dev_epoch5_lr4e-5.txt,complete,0.100088,0.090251,-0.009838,-9.83
UFMR,1,123456,5,8e-5,exp/results/repro/sweeps/UFMR/tedlium_dev_epoch5_lr8e-5.txt,complete,0.100088,0.096938,-0.003150,-3.15
UFMR,1,123456,5,1.6e-4,exp/results/repro/sweeps/UFMR/tedlium_dev_epoch5_lr1.6e-4.txt,complete,0.100088,0.493202,0.393114,392.77
UFMR,2,123457,1,5e-6,exp/results/repro/sweeps/UFMR/tedlium_dev_epoch1_lr5e-6_repeat2.txt,complete,0.100088,0.088759,-0.011330,-11.32
UFMR,2,123457,1,1e-5,exp/results/repro/sweeps/UFMR/tedlium_dev_epoch1_lr1e-5_repeat2.txt,complete,0.100088,0.089146,-0.010943,-10.93
UFMR,2,123457,1,2e-5,exp/results/repro/sweeps/UFMR/tedlium_dev_epoch1_lr2e-5_repeat2.txt,complete,0.100088,0.087985,-0.012103,-12.09
UFMR,2,123457,1,4e-5,exp/results/repro/sweeps/UFMR/tedlium_dev_epoch1_lr4e-5_repeat2.txt,complete,0.100088,0.086990,-0.013098,-13.09
UFMR,2,123457,1,8e-5,exp/results/repro/sweeps/UFMR/tedlium_dev_epoch1_lr8e-5_repeat2.txt,complete,0.100088,0.090140,-0.009948,-9.94
UFMR,2,123457,1,1.6e-4,exp/results/repro/sweeps/UFMR/tedlium_dev_epoch1_lr1.6e-4_repeat2.txt,complete,0.100088,0.098320,-0.001769,-1.77
UFMR,2,123457,5,5e-6,exp/results/repro/sweeps/UFMR/tedlium_dev_epoch5_lr5e-6_repeat2.txt,complete,0.100088,0.087985,-0.012103,-12.09
UFMR,2,123457,5,1e-5,exp/results/repro/sweeps/UFMR/tedlium_dev_epoch5_lr1e-5_repeat2.txt,complete,0.100088,0.087819,-0.012269,-12.26
UFMR,2,123457,5,2e-5,exp/results/repro/sweeps/UFMR/tedlium_dev_epoch5_lr2e-5_repeat2.txt,complete,0.100088,0.089367,-0.010722,-10.71
UFMR,2,123457,5,4e-5,exp/results/repro/sweeps/UFMR/tedlium_dev_epoch5_lr4e-5_repeat2.txt,complete,0.100088,0.092406,-0.007682,-7.68
UFMR,2,123457,5,8e-5,exp/results/repro/sweeps/UFMR/tedlium_dev_epoch5_lr8e-5_repeat2.txt,complete,0.100088,0.099702,-0.000387,-0.39
UFMR,2,123457,5,1.6e-4,exp/results/repro/sweeps/UFMR/tedlium_dev_epoch5_lr1.6e-4_repeat2.txt,complete,0.100088,0.306345,0.206256,206.07
